,valor,condo,tamanho,quartos,banheiros,suites,vagas,elevador,mobiliado,piscina,novo,distrito,tipo,propiedade,latitude,longitude
0,930,220,47,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.543138,-46.479486
1,1000,148,45,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.550239,-46.480717999999996
2,1000,100,48,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.542818,-46.485665000000004
3,1000,200,48,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.547171,-46.483014000000004
4,1300,410,55,2,2,1,1,sim,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.525025,-46.482436
5,1170,0,50,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.548751,-46.477195
6,1000,180,52,1,2,1,1,sim,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.54984,-46.484137
7,900,150,40,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.53974,-46.492670000000004
8,1000,0,65,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.548751,-46.477195
9,1000,0,100,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.548751,-46.477195
10,760,160,38,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.55185,-46.491169
11,800,150,48,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.545761,-46.479509
12,900,130,56,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.552073,-46.483411
13,1000,200,56,2,2,1,1,não,não,não,não,Artur Alvim/São Paulo,aluguel,apartamento,-23.541366,-46.483726000000004
14,1800,418,54,2,2,1,1,sim,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.543955,-46.586619
15,1600,416,45,2,2,1,1,não,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.544698,-46.602114
16,1500,337,55,2,2,1,1,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.546104,-46.594578999999996
17,1600,306,43,2,2,1,1,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.534606,-46.595084
18,1600,150,80,2,2,1,1,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.539620000000003,-46.596337
19,1600,420,46,2,2,1,1,não,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.544698,-46.602114
20,1900,800,67,3,2,1,1,sim,sim,não,não,Belém/São Paulo,aluguel,apartamento,-23.53838,-46.589441
21,2500,720,68,3,2,1,1,não,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.538163,-46.591505
22,1400,743,63,2,2,1,1,não,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.540023,-46.586898
23,1800,530,59,3,2,1,1,não,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.544698,-46.602114
24,1500,2893,230,3,2,1,2,não,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.540212,-46.585702000000005
25,2300,857,113,3,2,1,2,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.538134,-46.594059
26,2250,530,68,2,2,1,1,não,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.538163,-46.591505
27,1700,445,65,2,2,1,1,não,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.532871,-46.601244
28,1726,290,55,2,2,1,1,sim,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.534606,-46.595084
29,1700,450,50,1,2,1,1,sim,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.546089000000002,-46.590325
30,1600,300,48,2,2,1,1,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.546104,-46.594578999999996
31,810,140,36,1,2,1,1,não,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.538794,-46.605664000000004
32,3000,811,107,3,3,1,2,sim,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.538767,-46.594706
33,6000,800,150,3,4,3,2,sim,sim,não,não,Belém/São Paulo,aluguel,apartamento,-23.550987,-46.590908
34,1750,760,60,3,2,1,1,não,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.53838,-46.589441
35,2500,857,113,3,2,1,2,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.538134,-46.594059
36,3800,1450,155,3,4,3,3,sim,sim,não,não,Belém/São Paulo,aluguel,apartamento,-23.540085,-46.593312
37,1600,300,66,2,2,1,1,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.537298999999997,-46.583385
38,990,692,57,2,2,1,1,não,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.530025,-46.600427
39,1850,500,57,2,2,1,2,não,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.543955,-46.586619
40,1950,377,55,2,2,1,1,sim,sim,não,não,Belém/São Paulo,aluguel,apartamento,-23.535523,-46.593554
41,1099,400,85,2,2,1,1,não,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.536996,-46.591994
42,2300,907,114,4,3,2,2,não,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.538904000000002,-46.589456
43,1500,275,80,3,2,1,1,não,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.53718,-46.593103
44,1300,289,44,2,2,1,1,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.559264000000002,-46.575407
45,1900,374,55,2,2,1,1,sim,sim,não,não,Belém/São Paulo,aluguel,apartamento,-23.536768,-46.593884
46,1350,500,51,2,2,1,1,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.538535,-46.595799
47,2500,857,115,3,2,1,2,sim,não,sim,não,Belém/São Paulo,aluguel,apartamento,-23.538282000000002,-46.593159
48,2500,750,73,3,2,1,1,sim,não,não,não,Belém/São Paulo,aluguel,apartamento,-23.537348,-46.588941
49,1200,0,48,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.502336,-46.523243
50,1450,0,65,2,2,1,1,sim,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.506197,-46.522358000000004
51,1100,590,64,3,2,1,1,sim,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.509447,-46.530638
52,870,560,58,2,2,1,1,não,não,sim,não,Cangaíba/São Paulo,aluguel,apartamento,-23.510982000000002,-46.542666
53,1300,310,57,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.497770000000003,-46.511826
54,1000,380,58,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.510943,-46.52949
55,1100,546,96,3,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.508423,-46.530246000000005
56,1100,250,48,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.503393,-46.523542
57,800,0,40,1,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.509073,-46.53732
58,1200,400,62,2,2,1,1,sim,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.508439000000003,-46.530778000000005
59,900,250,53,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.505049,-46.527093
60,1150,0,52,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.504686,-46.513013
61,1250,400,55,2,2,1,1,sim,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.508439000000003,-46.530778000000005
62,1100,580,60,2,2,1,1,sim,não,sim,não,Cangaíba/São Paulo,aluguel,apartamento,-23.515341,-46.532945
63,1200,570,67,2,2,1,1,sim,não,sim,não,Cangaíba/São Paulo,aluguel,apartamento,-23.510982000000002,-46.542666
64,1200,0,50,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.505049,-46.527093
65,1200,400,55,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.509447,-46.530638
66,1400,0,55,2,2,1,1,sim,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.499806,-46.522778
67,1350,0,52,3,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.505049,-46.527093
68,1200,587,70,3,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.508423,-46.530246000000005
69,1300,0,46,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.504479999999997,-46.51085
70,1000,380,48,2,2,1,1,sim,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.512882,-46.547654
71,1600,0,48,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.503393,-46.523542
72,1600,400,52,2,2,1,1,sim,não,sim,não,Cangaíba/São Paulo,aluguel,apartamento,-23.512219,-46.534244
73,1150,370,55,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.511022,-46.529594
74,1200,220,45,2,2,1,1,sim,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.519551,-46.553027
75,1500,410,56,3,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.502942,-46.508986
76,1120,340,48,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.502336,-46.523243
77,1300,400,55,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.508439000000003,-46.530778000000005
78,1100,0,60,2,2,1,1,não,não,não,não,Cangaíba/São Paulo,aluguel,apartamento,-23.505049,-46.527093
79,1860,340,50,2,2,1,1,sim,sim,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.552816,-46.522892999999996
80,1400,708,70,2,2,1,1,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.56119,-46.543428000000006
81,3200,850,105,3,4,3,2,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.561751,-46.538090999999994
82,900,500,50,2,2,1,1,sim,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.553051,-46.524581
83,3500,1000,125,3,2,1,2,não,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.543743,-46.540831
84,3500,1030,126,3,4,3,2,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.55404,-46.545111
85,3500,580,98,2,1,2,2,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.551159,-46.540401
86,1350,345,49,2,2,1,1,não,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.552816,-46.522892999999996
87,2300,374,65,2,2,1,1,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.534905,-46.565265999999994
88,1300,580,62,2,2,1,1,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.562428,-46.532338
89,1400,510,64,2,2,1,1,não,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.555378,-46.531058
90,3500,1030,126,3,5,3,2,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.551011,-46.543376
91,1600,520,64,3,2,1,1,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.554469,-46.545331
92,1000,750,60,2,2,1,1,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.556845000000003,-46.541489
93,2200,678,75,3,2,1,2,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.545657000000002,-46.541398
94,1600,450,54,2,2,1,1,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.539497,-46.546527000000005
95,1700,248,48,2,2,1,1,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.556977,-46.524572
96,1400,510,64,2,2,1,1,não,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.557944,-46.532721
97,1200,497,48,2,2,1,1,não,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.558904000000002,-46.539729
98,1200,450,48,2,2,1,1,não,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.552901000000002,-46.525581
99,1000,320,50,2,2,1,1,não,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.551984,-46.522096999999995
100,1441,733,70,2,2,1,1,sim,sim,não,não,Carrão/São Paulo,aluguel,apartamento,-23.54162,-46.552255
101,1200,835,56,2,2,1,1,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.556661,-46.546212
102,1400,550,72,2,2,1,1,sim,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.557115,-46.539415999999996
103,3100,650,114,3,3,1,2,sim,sim,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.551712,-46.545053
104,1200,130,40,1,2,1,1,não,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.543084,-46.539058000000004
105,2200,0,106,3,2,1,1,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.557605,-46.539931
106,1350,320,50,2,2,1,1,sim,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.551984,-46.522096999999995
107,1500,870,77,3,2,1,2,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.555098,-46.528565
108,1900,546,61,2,2,1,1,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.554469,-46.545331
109,3000,1500,198,3,2,1,3,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.551712,-46.545053
110,1200,100,35,2,2,1,1,não,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.548841,-46.541492
111,1500,870,78,3,2,1,2,não,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.555098,-46.528565
112,1300,583,72,2,2,1,1,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.562782000000002,-46.531425
113,1280,560,62,2,2,1,1,sim,não,sim,não,Carrão/São Paulo,aluguel,apartamento,-23.562428,-46.532338
114,1200,450,50,2,2,1,1,sim,não,não,não,Carrão/São Paulo,aluguel,apartamento,-23.555806,-46.529708
115,1300,0,65,3,2,1,1,não,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.552162,-46.476099
116,850,415,50,2,2,1,1,sim,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.562946,-46.479356
117,900,465,48,2,2,1,1,sim,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.562975,-46.479401
118,1400,360,66,3,2,1,1,sim,não,sim,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.559894,-46.511703000000004
119,1800,480,82,3,2,1,1,sim,sim,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.553679000000002,-46.467287
120,1200,0,64,3,2,1,1,não,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.558014,-46.475743
121,700,0,30,1,2,1,1,não,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.573224,-46.481089000000004
122,500,0,50,1,2,1,1,não,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.559095000000003,-46.48816
123,1200,290,46,2,2,1,1,sim,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.562210999999998,-46.479378000000004
124,1100,300,50,2,2,1,1,sim,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.562208,-46.479378999999994
125,1500,530,63,3,2,1,1,sim,não,sim,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.564779,-46.476772
126,1100,498,47,2,2,1,1,não,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.564017,-46.467957
127,1100,442,67,2,2,1,1,não,não,não,não,Cidade Líder/São Paulo,aluguel,apartamento,-23.555285,-46.479096000000006
